algorithm,graph,outcome,t_load,t_makespan,t_processing
BFS,dota-league,succeed,1193.059,132.685,9.363
BFS,dota-league,succeed,1193.059,132.284,9.306
BFS,dota-league,succeed,1193.059,130.958,9.297
PR,graph500-25,succeed,1283.875,201.141,145.919
PR,graph500-25,succeed,1283.875,734.720,496.383
PR,graph500-25,succeed,1283.875,200.198,145.512
PR,graph500-25,succeed,1283.875,2046.004,1482.776
PR,graph500-25,succeed,1283.875,200.570,145.880
SSSP,uniform-25,succeed,1657.767,248.628,177.142
SSSP,uniform-25,succeed,1657.767,248.174,177.322
SSSP,uniform-25,succeed,1657.767,251.581,180.683
SSSP,uniform-25,succeed,1657.767,249.087,178.205
SSSP,uniform-25,succeed,1657.767,249.717,178.876
WCC,graph500-22,succeed,337.414,49.856,25.234
WCC,graph500-22,succeed,337.414,49.475,24.760
WCC,graph500-22,succeed,337.414,49.843,25.135
WCC,graph500-22,succeed,337.414,49.647,24.954
WCC,graph500-22,succeed,337.414,49.573,24.950
CDLP,uniform-24,failed,7749.708,nan,nan
CDLP,uniform-24,succeed,7749.708,3048.021,2823.771
CDLP,uniform-24,succeed,7749.708,2726.329,2536.040
CDLP,uniform-24,failed,7749.708,nan,nan
CDLP,uniform-24,failed,7749.708,nan,nan
LCC,graph500-24,failed,3578.782,nan,nan
LCC,graph500-24,failed,3578.782,nan,nan
LCC,graph500-24,failed,3578.782,nan,nan
LCC,graph500-24,failed,3578.782,nan,nan
LCC,graph500-24,failed,3578.782,nan,nan
CDLP,graph500-24,failed,3578.782,nan,nan
CDLP,graph500-24,failed,3578.782,nan,nan
CDLP,graph500-24,failed,3578.782,nan,nan
CDLP,graph500-24,failed,3578.782,nan,nan
CDLP,graph500-24,failed,3578.782,nan,nan
LCC,uniform-25,succeed,1322.058,624.937,543.126
LCC,uniform-25,succeed,1322.058,625.787,543.703
LCC,uniform-25,succeed,1322.058,624.902,542.992
LCC,uniform-25,succeed,1322.058,625.289,543.126
LCC,uniform-25,succeed,1322.058,624.942,543.117
PR,graph500-22,succeed,337.414,60.244,35.582
PR,graph500-22,succeed,337.414,21.718,14.433
PR,graph500-22,succeed,337.414,60.267,35.714
PR,graph500-22,succeed,337.414,59.985,35.239
PR,graph500-22,succeed,337.414,33.932,21.437
CDLP,uniform-25,succeed,1322.058,1525.378,1454.839
CDLP,uniform-25,succeed,1322.058,1520.578,1450.049
CDLP,uniform-25,succeed,1322.058,1525.099,1454.420
CDLP,uniform-25,succeed,1322.058,1525.796,1455.183
CDLP,uniform-25,succeed,1322.058,1526.829,1456.321
LCC,graph500-22,succeed,337.414,1345.784,1336.987
LCC,graph500-22,succeed,337.414,2461.426,2433.500
LCC,graph500-22,succeed,337.414,1592.781,1577.998
LCC,graph500-22,succeed,337.414,1345.896,1337.104
LCC,graph500-22,succeed,337.414,1346.128,1337.324
BFS,uniform-24,succeed,7749.708,363.607,58.947
BFS,uniform-24,succeed,7749.708,617.814,99.840
BFS,uniform-24,succeed,7749.708,430.070,67.222
BFS,uniform-24,succeed,7749.708,219.200,36.218
BFS,uniform-24,succeed,7749.708,758.620,136.669
CDLP,graph500-22,succeed,337.414,82.186,74.900
CDLP,graph500-22,succeed,337.414,83.890,76.519
CDLP,graph500-22,succeed,337.414,133.760,120.800
CDLP,graph500-22,succeed,337.414,135.011,121.970
CDLP,graph500-22,succeed,337.414,134.479,121.380
PR,graph500-24,succeed,3578.782,2030.196,1452.129
PR,graph500-24,succeed,3578.782,1148.874,793.069
PR,graph500-24,succeed,3578.782,706.870,442.178
PR,graph500-24,succeed,3578.782,708.109,443.832
PR,graph500-24,succeed,3578.782,1016.028,661.335
SSSP,graph500-25,succeed,10293.994,1810.581,1239.267
SSSP,graph500-25,succeed,10293.994,1743.300,1172.663
SSSP,graph500-25,succeed,10293.994,1844.333,1272.173
SSSP,graph500-25,succeed,10293.994,1632.687,1062.070
SSSP,graph500-25,succeed,10293.994,1658.032,1083.268
WCC,uniform-25,succeed,1322.058,248.318,182.933
WCC,uniform-25,succeed,1322.058,247.266,181.833
WCC,uniform-25,succeed,1322.058,248.017,181.928
WCC,uniform-25,succeed,1322.058,247.335,181.787
WCC,uniform-25,succeed,1322.058,248.075,182.596
PR,uniform-24,succeed,7749.708,944.781,599.827
PR,uniform-24,succeed,7749.708,1156.485,748.793
PR,uniform-24,succeed,7749.708,594.836,380.490
PR,uniform-24,succeed,7749.708,2104.749,1520.362
PR,uniform-24,succeed,7749.708,841.436,535.393
SSSP,graph500-22,succeed,433.879,56.391,30.190
SSSP,graph500-22,succeed,433.879,55.691,29.683
SSSP,graph500-22,succeed,433.879,55.838,29.745
SSSP,graph500-22,succeed,433.879,56.018,30.084
SSSP,graph500-22,succeed,433.879,55.883,29.843
BFS,uniform-25,succeed,1322.058,84.749,19.714
BFS,uniform-25,succeed,1322.058,84.538,19.482
BFS,uniform-25,succeed,1322.058,84.558,19.510
BFS,uniform-25,succeed,1322.058,85.175,19.977
BFS,uniform-25,succeed,1322.058,85.068,19.978
BFS,uniform-22,succeed,147.682,10.710,2.223
BFS,uniform-22,succeed,147.682,10.705,2.214
BFS,uniform-22,succeed,147.682,10.706,2.225
BFS,uniform-22,succeed,147.682,10.663,2.233
BFS,uniform-22,succeed,147.682,10.640,2.217
BFS,graph500-24,succeed,3578.782,471.029,68.182
BFS,graph500-24,succeed,3578.782,303.504,38.760
BFS,graph500-24,succeed,3578.782,675.313,96.313
BFS,graph500-24,succeed,3578.782,373.321,52.472
BFS,graph500-24,succeed,3578.782,597.956,92.697
LCC,graph500-26,failed,2726.188,nan,nan
LCC,graph500-26,failed,2726.188,nan,nan
LCC,graph500-26,failed,2726.188,nan,nan
CDLP,graph500-26,succeed,2726.188,2260.272,2147.125
CDLP,graph500-26,succeed,2726.188,2249.923,2135.766
CDLP,graph500-26,succeed,2726.188,2253.939,2140.518
BFS,graph500-26,succeed,2726.188,884.050,198.889
BFS,graph500-26,succeed,2726.188,134.345,30.755
BFS,graph500-26,succeed,2726.188,134.430,30.929
